A,W,k,ER,ER1,ER2,T,T',MT
50,10,0.2,0.04,0.67421,0.059329,0.84075,0.6553,1.4961
50,10,0.2,0.05,0.68171,0.073345,0.82027,0.6405,1.4608
50,10,0.2,0.075,0.69651,0.10768,0.78007,0.60998,1.39
50,10,0.2,0.1,0.70822,0.1412,0.74849,0.58494,1.3334
50,10,0.2,0.25,0.75556,0.33088,0.62262,0.47484,1.0975
50,10,0.2,0.5,0.81187,0.61586,0.47603,0.32699,0.80302
50,10,0.3,0.01,0.29829,0.033525,3.1203,0.97351,4.0938
50,10,0.3,0.02,0.35717,0.055995,2.7623,0.84391,3.6062
50,10,0.3,0.03,0.53576,0.055995,1.8577,0.60984,2.4675
50,10,0.3,0.04,0.67421,0.059329,1.2611,0.98296,2.2441
50,10,0.3,0.05,0.68171,0.073345,1.2304,0.96077,2.1912
50,10,0.3,0.075,0.69651,0.10768,1.1701,0.91497,2.0851
50,10,0.3,0.1,0.70822,0.1412,1.1227,0.87741,2.0001
50,10,0.3,0.25,0.75556,0.33088,0.93394,0.71226,1.6462
50,10,0.3,0.5,0.81187,0.61586,0.71404,0.49049,1.2045
50,10,0.5,0.01,0.29829,0.033525,5.2006,1.6225,6.8231
50,10,0.5,0.02,0.35717,0.055995,4.6038,0.54193,5.1457
50,10,0.5,0.03,0.53576,0.055995,3.0962,1.0164,4.1126
50,10,0.5,0.04,0.67421,0.059329,2.1019,1.6383,3.7401
50,10,0.5,0.05,0.68171,0.073345,2.0507,1.6013,3.6519
50,10,0.5,0.075,0.69651,0.10768,1.9502,1.5249,3.4751
50,10,0.5,0.1,0.70822,0.1412,1.8712,1.4624,3.3336
50,10,0.5,0.25,0.75556,0.33088,1.5566,1.1871,2.7437
50,10,0.5,0.5,0.81187,0.61586,1.1901,0.81748,2.0075
50,15,0.01,0.01,0.55576,0.017993,0.039276,0.026934,0.066211
50,15,0.01,0.02,0.57708,0.034657,0.037177,0.025871,0.063048
50,15,0.01,0.03,0.59106,0.050756,0.03582,0.025111,0.060931
50,15,0.01,0.04,0.60187,0.066459,0.034781,0.024497,0.059278
50,15,0.01,0.05,0.61083,0.081855,0.033926,0.023969,0.057894
50,15,0.01,0.075,0.62865,0.1193,0.032242,0.022863,0.055104
50,15,0.01,0.1,0.64276,0.15558,0.030923,0.021936,0.052859
50,15,0.01,0.25,0.69993,0.35718,0.025694,0.017698,0.043392
50,15,0.01,0.5,0.7684,0.6507,0.019631,0.011748,0.031379
50,15,0.02,0.01,0.55576,0.017993,0.078553,0.053868,0.13242
50,15,0.02,0.02,0.57708,0.034657,0.074354,0.051741,0.1261
50,15,0.02,0.03,0.59106,0.050756,0.07164,0.050221,0.12186
50,15,0.02,0.04,0.60187,0.066459,0.069562,0.048994,0.11856
50,15,0.02,0.05,0.61083,0.081855,0.067851,0.047937,0.11579
50,15,0.02,0.075,0.62865,0.1193,0.064484,0.045725,0.11021
50,15,0.02,0.1,0.64276,0.15558,0.061846,0.043873,0.10572
50,15,0.02,0.25,0.69993,0.35718,0.051389,0.035395,0.086784
50,15,0.02,0.5,0.7684,0.6507,0.039262,0.023497,0.062759
50,15,0.03,0.01,0.55576,0.017993,0.11783,0.080802,0.19863
50,15,0.03,0.02,0.57708,0.034657,0.11153,0.077612,0.18914
50,15,0.03,0.03,0.59106,0.050756,0.10746,0.075331,0.18279
50,15,0.03,0.04,0.60187,0.066459,0.10434,0.073491,0.17783
50,15,0.03,0.05,0.61083,0.081855,0.10178,0.071906,0.17368
50,15,0.03,0.075,0.62865,0.1193,0.096725,0.068588,0.16531
50,15,0.03,0.1,0.64276,0.15558,0.092769,0.065809,0.15858
50,15,0.03,0.25,0.69993,0.35718,0.077083,0.053093,0.13018
50,15,0.03,0.5,0.7684,0.6507,0.058893,0.035245,0.094138
50,15,0.04,0.01,0.55576,0.017993,0.15711,0.10774,0.26484
50,15,0.04,0.02,0.57708,0.034657,0.14871,0.10348,0.25219
50,15,0.04,0.03,0.59106,0.050756,0.14328,0.10044,0.24372
50,15,0.04,0.04,0.60187,0.066459,0.13912,0.097988,0.23711
50,15,0.04,0.05,0.61083,0.081855,0.1357,0.095874,0.23158
50,15,0.04,0.075,0.62865,0.1193,0.12897,0.09145,0.22042
50,15,0.04,0.1,0.64276,0.15558,0.12369,0.087744,0.21144
50,15,0.04,0.25,0.69993,0.35718,0.10278,0.07079,0.17357
50,15,0.04,0.5,0.7684,0.6507,0.078524,0.046993,0.12552
50,15,0.05,0.01,0.55576,0.017993,0.19638,0.13467,0.33105
50,15,0.05,0.02,0.57708,0.034657,0.18588,0.12935,0.31524
50,15,0.05,0.03,0.59106,0.050756,0.1791,0.12555,0.30465
50,15,0.05,0.04,0.60187,0.066459,0.1739,0.12249,0.29639
50,15,0.05,0.05,0.61083,0.081855,0.16963,0.11984,0.28947
50,15,0.05,0.075,0.62865,0.1193,0.16121,0.11431,0.27552
50,15,0.05,0.1,0.64276,0.15558,0.15462,0.10968,0.2643
50,15,0.05,0.25,0.69993,0.35718,0.12847,0.088487,0.21696
50,15,0.05,0.5,0.7684,0.6507,0.098155,0.058741,0.1569
50,15,0.075,0.01,0.55576,0.017993,0.29457,0.20201,0.49658
50,15,0.075,0.02,0.57708,0.034657,0.27883,0.19403,0.47286
50,15,0.075,0.03,0.59106,0.050756,0.26865,0.18833,0.45698
50,15,0.075,0.04,0.60187,0.066459,0.26086,0.18373,0.44458
50,15,0.075,0.05,0.61083,0.081855,0.25444,0.17976,0.43421
50,15,0.075,0.075,0.62865,0.1193,0.24181,0.17147,0.41328
50,15,0.075,0.1,0.64276,0.15558,0.23192,0.16452,0.39645
50,15,0.075,0.25,0.69993,0.35718,0.19271,0.13273,0.32544
50,15,0.075,0.5,0.7684,0.6507,0.14723,0.088112,0.23534
50,15,0.1,0.01,0.55576,0.017993,0.39276,0.26934,0.66211
50,15,0.1,0.02,0.57708,0.034657,0.37177,0.25871,0.63048
50,15,0.1,0.03,0.59106,0.050756,0.3582,0.25111,0.60931
50,15,0.1,0.04,0.60187,0.066459,0.34781,0.24497,0.59278
50,15,0.1,0.05,0.61083,0.081855,0.33926,0.23969,0.57894
50,15,0.1,0.075,0.62865,0.1193,0.32242,0.22863,0.55104
50,15,0.1,0.1,0.64276,0.15558,0.30923,0.21936,0.52859
50,15,0.1,0.25,0.69993,0.35718,0.25694,0.17697,0.43392
50,15,0.1,0.5,0.7684,0.6507,0.19631,0.11748,0.31379
50,15,0.2,0.01,0.55576,0.017993,0.78553,0.53869,1.3242
50,15,0.2,0.02,0.57708,0.034657,0.74354,0.51741,1.261
50,15,0.2,0.03,0.59106,0.050756,0.7164,0.50221,1.2186
50,15,0.2,0.04,0.60187,0.066459,0.69562,0.48994,1.1856
50,15,0.2,0.05,0.61083,0.081855,0.67851,0.47937,1.1579
50,15,0.2,0.075,0.62865,0.1193,0.64484,0.45725,1.1021
50,15,0.2,0.1,0.64276,0.15558,0.61847,0.43872,1.0572
50,15,0.2,0.25,0.69993,0.35718,0.51389,0.35395,0.86784
50,15,0.2,0.5,0.7684,0.6507,0.39262,0.23497,0.62759
50,15,0.3,0.01,0.55576,0.017993,1.1783,0.80803,1.9863
50,15,0.3,0.02,0.57708,0.034657,1.1153,0.77612,1.8914
50,15,0.3,0.03,0.59106,0.050756,1.0746,0.75332,1.8279
50,15,0.3,0.04,0.60187,0.066459,1.0434,0.73492,1.7783
50,15,0.3,0.05,0.61083,0.081855,1.0178,0.71906,1.7368
50,15,0.3,0.075,0.62865,0.1193,0.96725,0.68588,1.6531
50,15,0.3,0.1,0.64276,0.15558,0.9277,0.65809,1.5858
50,15,0.3,0.25,0.69993,0.35718,0.77083,0.53092,1.3018
50,15,0.3,0.5,0.7684,0.6507,0.58893,0.35245,0.94138
50,15,0.5,0.01,0.55576,0.017993,1.9638,1.3467,3.3105
50,15,0.5,0.02,0.57708,0.034657,1.8588,1.2935,3.1524
50,15,0.5,0.03,0.59106,0.050756,1.791,1.2555,3.0465
50,15,0.5,0.04,0.60187,0.066459,1.739,1.2249,2.9639
50,15,0.5,0.05,0.61083,0.081855,1.6963,1.1984,2.8947
50,15,0.5,0.075,0.62865,0.1193,1.6121,1.1431,2.7552
50,15,0.5,0.1,0.64276,0.15558,1.5462,1.0968,2.643
50,15,0.5,0.25,0.69993,0.35718,1.2847,0.88488,2.1696
50,15,0.5,0.5,0.7684,0.6507,0.98155,0.58741,1.569
50,20,0.01,0.01,0.49214,0.020319,0.034345,0.021285,0.05563
50,20,0.01,0.02,0.51543,0.038803,0.03252,0.020515,0.053036
50,20,0.01,0.03,0.53096,0.056502,0.031327,0.019958,0.051286
50,20,0.01,0.04,0.54302,0.073662,0.030413,0.0195,0.049913
50,20,0.01,0.05,0.55299,0.090418,0.029664,0.019096,0.048761
50,20,0.01,0.075,0.57294,0.1309,0.028187,0.018239,0.046425
50,20,0.01,0.1,0.58879,0.16984,0.02703,0.017506,0.044536
50,20,0.01,0.25,0.65346,0.38258,0.022448,0.01403,0.036478
50,20,0.01,0.5,0.7313,0.68372,0.01717,0.0089247,0.026095
50,20,0.02,0.01,0.49214,0.020319,0.06869,0.04257,0.11126
50,20,0.02,0.02,0.51543,0.038803,0.065041,0.041031,0.10607
50,20,0.02,0.03,0.53096,0.056502,0.062655,0.039917,0.10257
50,20,0.02,0.04,0.54302,0.073662,0.060826,0.039001,0.099826
50,20,0.02,0.05,0.55299,0.090418,0.059329,0.038192,0.097521
50,20,0.02,0.075,0.57294,0.1309,0.056373,0.036477,0.092851
50,20,0.02,0.1,0.58879,0.16984,0.054059,0.035013,0.089072
50,20,0.02,0.25,0.65346,0.38258,0.044896,0.02806,0.072956
50,20,0.02,0.5,0.7313,0.68371,0.03434,0.01785,0.052189
50,20,0.03,0.01,0.49215,0.020319,0.10303,0.063856,0.16689
50,20,0.03,0.02,0.51543,0.038803,0.097561,0.061546,0.15911
50,20,0.03,0.03,0.53096,0.056502,0.093982,0.059875,0.15386
50,20,0.03,0.04,0.54302,0.073662,0.091238,0.058501,0.14974
50,20,0.03,0.05,0.55299,0.090418,0.088994,0.057288,0.14628
50,20,0.03,0.075,0.57294,0.1309,0.08456,0.054716,0.13928
50,20,0.03,0.1,0.58879,0.16984,0.081089,0.052519,0.13361
50,20,0.03,0.25,0.65346,0.38258,0.067344,0.042089,0.10943
50,20,0.03,0.5,0.7313,0.68372,0.05151,0.026774,0.078284
50,20,0.04,0.01,0.49214,0.020319,0.13738,0.085139,0.22252
50,20,0.04,0.02,0.51543,0.038803,0.13008,0.082062,0.21214
50,20,0.04,0.03,0.53096,0.056502,0.12531,0.079834,0.20514
50,20,0.04,0.04,0.54302,0.073662,0.12165,0.078001,0.19965
50,20,0.04,0.05,0.55299,0.090418,0.11866,0.076384,0.19504
50,20,0.04,0.075,0.57294,0.1309,0.11275,0.072954,0.1857
50,20,0.04,0.1,0.58879,0.16984,0.10812,0.070026,0.17814
50,20,0.04,0.25,0.65346,0.38258,0.089792,0.05612,0.14591
50,20,0.04,0.5,0.7313,0.68371,0.06868,0.035699,0.10438
50,20,0.05,0.01,0.49214,0.020319,0.17173,0.10642,0.27815
50,20,0.05,0.02,0.51543,0.038803,0.1626,0.10258,0.26518
50,20,0.05,0.03,0.53096,0.056502,0.15664,0.099792,0.25643
50,20,0.05,0.04,0.54302,0.073662,0.15206,0.097502,0.24957
50,20,0.05,0.05,0.55299,0.090418,0.14832,0.095481,0.2438
50,20,0.05,0.075,0.57294,0.1309,0.14093,0.091193,0.23213
50,20,0.05,0.1,0.58879,0.16984,0.13515,0.087532,0.22268
50,20,0.05,0.25,0.65346,0.38258,0.11224,0.070149,0.18239
50,20,0.05,0.5,0.7313,0.68372,0.08585,0.044624,0.13047
50,20,0.075,0.01,0.49214,0.020319,0.25759,0.15963,0.41723
50,20,0.075,0.02,0.51543,0.038803,0.2439,0.15387,0.39777
50,20,0.075,0.03,0.53096,0.056502,0.23496,0.14969,0.38464
50,20,0.075,0.04,0.54302,0.073662,0.2281,0.14625,0.37435
50,20,0.075,0.05,0.55299,0.090418,0.22248,0.14322,0.3657
50,20,0.075,0.075,0.57294,0.1309,0.2114,0.13679,0.34819
50,20,0.075,0.1,0.58879,0.16984,0.20272,0.1313,0.33402
50,20,0.075,0.25,0.65346,0.38258,0.16836,0.10522,0.27358
50,20,0.075,0.5,0.7313,0.68372,0.12877,0.066936,0.19571
50,20,0.1,0.01,0.49214,0.020319,0.34345,0.21285,0.5563
50,20,0.1,0.02,0.51543,0.038803,0.3252,0.20515,0.53036
50,20,0.1,0.03,0.53096,0.056502,0.31327,0.19958,0.51286
50,20,0.1,0.04,0.54302,0.073662,0.30413,0.195,0.49913
50,20,0.1,0.05,0.55299,0.090418,0.29665,0.19096,0.48761
50,20,0.1,0.075,0.57294,0.1309,0.28187,0.18239,0.46425
50,20,0.1,0.1,0.58879,0.16984,0.2703,0.17506,0.44536
50,20,0.1,0.25,0.65346,0.38258,0.22448,0.1403,0.36478
50,20,0.1,0.5,0.7313,0.68372,0.1717,0.089246,0.26095
50,20,0.2,0.01,0.49214,0.020319,0.68691,0.4257,1.1126
50,20,0.2,0.02,0.51543,0.038803,0.65041,0.41031,1.0607
50,20,0.2,0.03,0.53096,0.056502,0.62655,0.39917,1.0257
50,20,0.2,0.04,0.54302,0.073662,0.60825,0.39001,0.99826
50,20,0.2,0.05,0.55299,0.090418,0.59329,0.38192,0.97521
50,20,0.2,0.075,0.57294,0.1309,0.56373,0.36477,0.92851
50,20,0.2,0.1,0.58879,0.16984,0.54059,0.35013,0.89072
50,20,0.2,0.25,0.65346,0.38258,0.44896,0.2806,0.72956
50,20,0.2,0.5,0.7313,0.68372,0.3434,0.1785,0.52189
50,20,0.3,0.01,0.49214,0.020319,1.0304,0.63854,1.6689
50,20,0.3,0.02,0.51543,0.038803,0.97561,0.61546,1.5911
50,20,0.3,0.03,0.53096,0.056502,0.93982,0.59875,1.5386
50,20,0.3,0.04,0.54302,0.073662,0.91238,0.58501,1.4974
50,20,0.3,0.05,0.55299,0.090418,0.88994,0.57288,1.4628
50,20,0.3,0.075,0.57294,0.1309,0.8456,0.54716,1.3928
50,20,0.3,0.1,0.58879,0.16984,0.81088,0.5252,1.3361
50,20,0.3,0.25,0.65346,0.38258,0.67344,0.4209,1.0943
50,20,0.3,0.5,0.7313,0.68372,0.5151,0.26774,0.78284
50,20,0.5,0.01,0.49214,0.020319,1.7173,1.0642,2.7815
50,20,0.5,0.02,0.51543,0.038803,1.626,1.0258,2.6518
50,20,0.5,0.03,0.53096,0.056502,1.5664,0.99792,2.5643
50,20,0.5,0.04,0.54302,0.073662,1.5206,0.97502,2.4957
50,20,0.5,0.05,0.55299,0.090418,1.4832,0.95481,2.438
50,20,0.5,0.075,0.57294,0.1309,1.4093,0.91193,2.3213
50,20,0.5,0.1,0.58879,0.16984,1.3515,0.87531,2.2268
50,20,0.5,0.25,0.65346,0.38258,1.1224,0.70149,1.8239
50,20,0.5,0.5,0.7313,0.68372,0.8585,0.44624,1.3047
50,25,0.01,0.01,0.4397,0.022743,0.030908,0.01745,0.048357
50,25,0.01,0.02,0.46435,0.043071,0.029268,0.016879,0.046147
50,25,0.01,0.03,0.48081,0.062395,0.0282,0.016449,0.044649
50,25,0.01,0.04,0.49365,0.081029,0.027381,0.016089,0.04347
50,25,0.01,0.05,0.50432,0.099144,0.026708,0.015768,0.042476
50,25,0.01,0.075,0.52582,0.14263,0.025376,0.015077,0.040454
50,25,0.01,0.1,0.54284,0.18422,0.024341,0.014468,0.038809
50,25,0.01,0.25,0.61319,0.40771,0.020221,0.0115,0.031722
50,25,0.01,0.5,0.69828,0.71604,0.015505,0.0069454,0.022451
50,25,0.02,0.01,0.4397,0.022743,0.061815,0.034899,0.096715
50,25,0.02,0.02,0.46436,0.04307,0.058535,0.033759,0.092294
50,25,0.02,0.03,0.48081,0.062395,0.0564,0.032898,0.089299
50,25,0.02,0.04,0.49365,0.081029,0.054761,0.032178,0.086939
50,25,0.02,0.05,0.50432,0.099144,0.053417,0.031535,0.084952
50,25,0.02,0.075,0.52582,0.14263,0.050752,0.030155,0.080907
50,25,0.02,0.1,0.54284,0.18422,0.048682,0.028936,0.077618
50,25,0.02,0.25,0.61318,0.40771,0.040443,0.023,0.063443
50,25,0.02,0.5,0.69828,0.71604,0.031011,0.013891,0.044902
50,25,0.03,0.01,0.4397,0.022743,0.092723,0.052349,0.14507
50,25,0.03,0.02,0.46436,0.04307,0.087803,0.050638,0.13844
50,25,0.03,0.03,0.48081,0.062395,0.084601,0.049347,0.13395
50,25,0.03,0.04,0.49365,0.081029,0.082141,0.048268,0.13041
50,25,0.03,0.05,0.50432,0.099144,0.080125,0.047303,0.12743
50,25,0.03,0.075,0.52582,0.14263,0.076128,0.045232,0.12136
50,25,0.03,0.1,0.54284,0.18422,0.073023,0.043405,0.11643
50,25,0.03,0.25,0.61318,0.40771,0.060664,0.034501,0.095165
50,25,0.03,0.5,0.69828,0.71604,0.046517,0.020836,0.067353
50,25,0.04,0.01,0.4397,0.022743,0.12363,0.069798,0.19343
50,25,0.04,0.02,0.46436,0.04307,0.11707,0.067518,0.18459
50,25,0.04,0.03,0.48081,0.062395,0.1128,0.065797,0.1786
50,25,0.04,0.04,0.49365,0.081029,0.10952,0.064357,0.17388
50,25,0.04,0.05,0.50432,0.099144,0.10683,0.06307,0.1699
50,25,0.04,0.075,0.52582,0.14263,0.1015,0.06031,0.16181
50,25,0.04,0.1,0.54284,0.18422,0.097363,0.057873,0.15524
50,25,0.04,0.25,0.61319,0.40771,0.080885,0.046001,0.12689
50,25,0.04,0.5,0.69828,0.71604,0.062022,0.027781,0.089804
50,25,0.05,0.01,0.4397,0.022743,0.15454,0.087248,0.24179
50,25,0.05,0.02,0.46436,0.04307,0.14634,0.084397,0.23074
50,25,0.05,0.03,0.48081,0.062395,0.141,0.082246,0.22325
50,25,0.05,0.04,0.49365,0.081029,0.1369,0.080446,0.21735
50,25,0.05,0.05,0.50432,0.099144,0.13354,0.078837,0.21238
50,25,0.05,0.075,0.52582,0.14263,0.12688,0.075387,0.20227
50,25,0.05,0.1,0.54284,0.18422,0.1217,0.072341,0.19405
50,25,0.05,0.25,0.61319,0.40771,0.10111,0.057501,0.15861
50,25,0.05,0.5,0.69828,0.71604,0.077528,0.034727,0.11225
50,25,0.075,0.01,0.4397,0.022743,0.23181,0.13087,0.36268
50,25,0.075,0.02,0.46436,0.04307,0.21951,0.1266,0.3461
50,25,0.075,0.03,0.48081,0.062395,0.2115,0.12337,0.33487
50,25,0.075,0.04,0.49365,0.081028,0.20535,0.12067,0.32602
50,25,0.075,0.05,0.50432,0.099144,0.20031,0.11826,0.31857
50,25,0.075,0.075,0.52582,0.14263,0.19032,0.11308,0.3034
50,25,0.075,0.1,0.54284,0.18422,0.18256,0.10851,0.29107
50,25,0.075,0.25,0.61319,0.40771,0.15166,0.086252,0.23791
50,25,0.075,0.5,0.69828,0.71604,0.11629,0.05209,0.16838
50,25,0.1,0.01,0.4397,0.022743,0.30908,0.1745,0.48357
50,25,0.1,0.02,0.46436,0.04307,0.29268,0.16879,0.46147
50,25,0.1,0.03,0.48081,0.062395,0.282,0.16449,0.44649
50,25,0.1,0.04,0.49365,0.081028,0.2738,0.16089,0.4347
50,25,0.1,0.05,0.50432,0.099144,0.26708,0.15768,0.42476
50,25,0.1,0.075,0.52582,0.14263,0.25376,0.15077,0.40454
50,25,0.1,0.1,0.54284,0.18422,0.24341,0.14468,0.38809
50,25,0.1,0.25,0.61319,0.40771,0.20221,0.115,0.31722
50,25,0.1,0.5,0.69828,0.71604,0.15506,0.069454,0.22451
50,25,0.2,0.01,0.4397,0.022743,0.61815,0.34899,0.96715
50,25,0.2,0.02,0.46435,0.043071,0.58536,0.33759,0.92294
50,25,0.2,0.03,0.48081,0.062395,0.564,0.32898,0.89299
50,25,0.2,0.04,0.49365,0.081029,0.54761,0.32178,0.86939
50,25,0.2,0.05,0.50432,0.099144,0.53417,0.31535,0.84952
50,25,0.2,0.075,0.52582,0.14263,0.50752,0.30155,0.80907
50,25,0.2,0.1,0.54284,0.18422,0.48682,0.28936,0.77618
50,25,0.2,0.25,0.61318,0.40771,0.40443,0.23,0.63443
50,25,0.2,0.5,0.69828,0.71604,0.31011,0.13891,0.44902
50,25,0.3,0.01,0.4397,0.022743,0.92723,0.52349,1.4507
50,25,0.3,0.02,0.46436,0.04307,0.87803,0.50638,1.3844
50,25,0.3,0.03,0.48081,0.062395,0.84601,0.49347,1.3395
50,25,0.3,0.04,0.49365,0.081029,0.82141,0.48268,1.3041
50,25,0.3,0.05,0.50432,0.099144,0.80125,0.47303,1.2743
50,25,0.3,0.075,0.52582,0.14263,0.76128,0.45232,1.2136
50,25,0.3,0.1,0.54284,0.18422,0.73023,0.43405,1.1643
50,25,0.3,0.25,0.61319,0.40771,0.60664,0.34501,0.95165
50,25,0.3,0.5,0.69828,0.71604,0.46517,0.20836,0.67353
50,25,0.5,0.01,0.4397,0.022743,1.5454,0.87248,2.4179
50,25,0.5,0.02,0.46436,0.04307,1.4634,0.84397,2.3074
50,25,0.5,0.03,0.48081,0.062395,1.41,0.82246,2.2325
50,25,0.5,0.04,0.49365,0.081028,1.369,0.80447,2.1735
50,25,0.5,0.05,0.50432,0.099144,1.3354,0.78838,2.1238
50,25,0.5,0.075,0.52582,0.14263,1.2688,0.75387,2.0227
50,25,0.5,0.1,0.54284,0.18422,1.217,0.72341,1.9405
50,25,0.5,0.25,0.61318,0.40771,1.0111,0.57501,1.5861
50,25,0.5,0.5,0.69828,0.71604,0.77528,0.34727,1.1225
50,30,0.01,0.01,0.39625,0.025236,0.028278,0.014686,0.042964
50,30,0.01,0.02,0.4214,0.047461,0.0268,0.014238,0.041038
50,30,0.01,0.03,0.43838,0.068433,0.025831,0.013895,0.039726
50,30,0.01,0.04,0.45164,0.088567,0.02509,0.013599,0.038689
50,30,0.01,0.05,0.46276,0.10805,0.024477,0.013335,0.037812
50,30,0.01,0.075,0.48515,0.15459,0.023268,0.012753,0.036021
50,30,0.01,0.1,0.5031,0.19877,0.022321,0.012237,0.034558
50,30,0.01,0.25,0.5775,0.4329,0.018568,0.009619,0.028187
50,30,0.01,0.5,0.6683,0.74816,0.014283,0.0054542,0.019737
50,30,0.02,0.01,0.39625,0.025236,0.056556,0.029372,0.085928
50,30,0.02,0.02,0.4214,0.047461,0.053599,0.028477,0.082076
50,30,0.02,0.03,0.43838,0.068433,0.051662,0.02779,0.079452
50,30,0.02,0.04,0.45164,0.088567,0.050179,0.027199,0.077378
50,30,0.02,0.05,0.46276,0.10805,0.048954,0.02667,0.075624
50,30,0.02,0.075,0.48514,0.15459,0.046537,0.025505,0.072042
50,30,0.02,0.1,0.5031,0.19877,0.044642,0.024473,0.069115
50,30,0.02,0.25,0.5775,0.4329,0.037136,0.019238,0.056374
